"","X","Y","ANNO","Spawners","Recruits","salinity.minq3p","salinity.minq4p","salinity.minq1","salinity.minq2","salinity.minq3","salinity.maxq3p","salinity.maxq4p","salinity.maxq1","salinity.maxq2","salinity.maxq3","bat","dist","slope","temp.minq3p","temp.minq4p","temp.minq1","temp.minq2","temp.minq3","temp.maxq3p","temp.maxq4p","temp.maxq1","temp.maxq2","temp.maxq3","tot"
"1",778.695181,4582.667234,2002,393.1667617,0,38.29515839,38.2261734,38.22945786,38.30026245,37.96865463,38.4229126,38.38070679,38.27183533,38.39618683,38.47979736,-257,32,22,22.89504242,17.77087784,14.03646469,15.37996769,24.63000107,26.12999916,19.49451828,14.60062981,23.63000107,25.37999535,393.1667617
"2",875.6153667,4541.812403,2002,0,0,38.28719711,38.2429924,38.24106979,38.30510712,38.07043457,38.40508652,38.39654541,38.28085327,38.40664673,38.48831177,-489,16,32,23.75426865,18.38738251,14.28522301,15.49316788,24.89603424,26.13000107,19.24518967,14.77036095,23.99101448,26.09384346,0
"3",585.1786231,4781.403503,2002,0,397.9891077,38.26405334,38.23956299,38.2355957,38.25753784,37.66450119,38.38071442,38.33841705,38.26062012,38.29006958,38.28701782,-163,25,3,23.74328041,17.12863922,13.43809128,15.38004112,23.63178825,26.23788071,18.59563828,13.82531929,23.91865921,25.23150826,397.9891077
"4",596.4540506,4779.598966,2002,21.061056,21.061056,38.26571655,38.23908234,38.23552704,38.26101685,37.68132782,38.38303375,38.33893585,38.26137543,38.29073334,38.29853821,-127,37,0,23.38170624,17.4992218,13.45966721,15.52143669,23.49848175,26.23654938,18.63010216,13.88933563,24.12646866,25.38004112,42.122112
"5",588.7949158,4775.229761,2002,0,249.1528802,38.26532364,38.23964691,38.23607636,38.25996399,37.67643738,38.38286591,38.34092331,38.26151276,38.29104996,38.29436493,-153,27,1,23.7569046,17.49459839,13.51416397,15.38538647,23.75,26.12999916,18.24734306,13.84526634,23.87278557,25.38000298,249.1528802
"6",569.4550569,4782.602202,2002,0,0,38.26248932,38.24072266,38.23616028,38.24871445,37.64214325,38.37823486,38.33812714,38.26021576,38.28969955,38.27222061,-204,14,9,23.7603817,17.03020477,13.39676094,14.99670887,23.75003433,26.12997246,18.38007736,13.85603714,23.63758659,25.38280678,0
"7",563.2773343,4781.930989,2002,110.2366781,110.2366781,38.2623291,38.24157715,38.23683929,38.24485016,37.63382721,38.37781525,38.33898926,38.26044464,38.28999329,38.26661301,-392,14,9,23.63232422,17.38781166,13.39377594,14.99999905,23.7488575,26.23752022,18.35642624,13.90777016,23.88625526,25.37501907,220.4733562
"8",538.8520881,4815.354126,2002,9.795873586,0,38.25364685,38.24081421,38.23358917,38.22193146,37.57328415,38.36434174,38.32089233,38.25524139,38.2849617,38.23207855,-514,48,48,22.61251259,16.8783493,13.00679588,15.13517571,23.61984444,25.73513985,18.13248444,13.66103268,23.25421333,25.46102333,9.795873586
"9",545.6806892,4809.999436,2002,142.7638705,418.77402,38.25549316,38.24067688,38.23403931,38.22707748,37.5870285,38.36723328,38.32453918,38.25617218,38.28577423,38.23993683,-414,38,2,22.85918427,16.62999916,12.90077114,15.22767448,23.39365005,25.87598991,18.12340736,13.57428551,23.12695313,25.3344326,561.5378905
"10",555.4675832,4825.35555,2002,0,0,38.25270081,38.23656464,38.22980499,38.22949219,37.59440613,38.36372757,38.31754303,38.25248718,38.28187943,38.24437332,-520,29,2,22.49420166,17.12380409,12.96213341,15.01269436,23.49313545,26.1142025,18.38726234,13.6288147,23.37067604,25.24301338,0
"11",869.2315009,4575.669938,2002,0,0,38.31084824,38.25274658,38.25154114,38.3158493,38.03551865,38.42848969,38.40248871,38.29312134,38.41295624,38.49145508,-34,3,11,22.14800453,17.45368004,13.94132042,11.55076218,23.87393951,25.09766006,19.10219955,14.57142639,24.31227112,24.20277405,0
"12",565.0208848,4841.846377,2002,139.2153821,39.77582346,38.24999619,38.23251343,38.22558594,38.2304306,37.59952927,38.36012268,38.31098175,38.24867249,38.27780914,38.24698639,-281,34,12,22.59694481,17.25179482,12.92915535,15.25422573,23.62999725,26.37550735,18.37180328,13.62383842,24.14259529,25.24472427,178.9912056
"13",566.583392,4844.283308,2002,9.090909091,163.6363636,38.25004578,38.23215485,38.22525787,38.23124695,37.60168457,38.36016083,38.31072235,38.24848175,38.27755737,38.24826431,-212,33,12,22.6297245,17.23627853,12.9293251,15.1316824,23.63349533,26.36021614,18.37999916,13.62622643,24.12999916,25.36445808,172.7272727
"14",571.5330818,4851.998888,2002,0,85.03582134,38.24885941,38.23033524,38.22332001,38.23127747,37.60347748,38.35849762,38.3077774,38.2467041,38.27555847,38.24892426,-102,25,4,22.9992981,17.25929832,12.94422531,15.25008583,23.64152527,26.25000191,18.38876724,13.66527939,24.59942818,25.3138752,85.03582134
"15",575.2570769,4851.284447,2002,0,0,38.25017548,38.23072815,38.22390747,38.2340889,37.60949326,38.3601532,38.30931091,38.24754334,38.27631378,38.25282669,-78,25,5,22.87730026,17.05060577,12.90116024,15.25107193,23.74351311,26.38000107,18.49999046,13.7181282,24.26254654,25.47171783,0
